ods_type_activite|categorie|commune|siret|Nom|numero_inspection|geores|filtre|date_inspection|code_postal|evaluation|adresse|agrement|lat|lon
Autres|Restaurant|GAMACHES|30121048000010|SARL AUBERGE DU DOUBLE SIX|16696510|[49.985274, 1.561386]|Restaurant|2022-12-30T01:00:00+01:00|80220|A améliorer|24 PL GENERAL LECLERC||49.985274|1.561386
Autres|Restaurant|LYON|31017429700013|LE SAINT JOSEPH (RESTAURANT DE LA BOULANGERIE)|16463805|[45.762926, 4.832648]|Restaurant|2022-04-05T02:00:00+02:00|69002|Très satisfaisant|46 R MERCIERE||45.762926|4.832648
Autres|Restaurant|RUEIL MALMAISON|32241745200024|LES HAMPTONS (PARIS COUNTRY CLUB)|16469836|[48.859218, 2.194617]|Restaurant|2022-05-20T02:00:00+02:00|92500|Très satisfaisant|123 Rue du Lt Colonel de Montbrison||48.859218|2.194617
Autres|Restaurant|GIF SUR YVETTE|33822038700017|LE CANAPE|16704097|[48.702514, 2.1354509999999998]|Restaurant|2023-01-13T01:00:00+01:00|91190|Très satisfaisant|1 R GUSTAVE VATONNE||48.702514|2.135451
Autres|Restaurant|FORGES LES BAINS|35186239600048|RESTAURATION DU GOLF|16697705|[48.629562, 2.084868]|Restaurant|2023-01-04T01:00:00+01:00|91470|Très satisfaisant|RUE GAL LECLERC||48.629562|2.084868
Autres|Restaurant|LYON|32549463100014|LES ENFANTS  TERRIBLES (LYON PRESQU'ILE RESTAURATION)|16366737|[45.76251, 4.832729]|Restaurant|2022-03-10T01:00:00+01:00|69002|Satisfaisant|58 R MERCIERE||45.76251|4.832729
Autres|Restaurant|LA MADELAINE SOUS MONTREUIL|34961558300011|LA GRENOUILLERE|16397276|[50.470105, 1.753435]|Restaurant|2022-03-25T01:00:00+01:00|62170|Très satisfaisant|AUBERGE DE LA GRENOUILLERE||50.470105|1.753435
Autres|Restaurant|LE VESINET|38143501500015|PALAIS RIZIERES (AU PALAIS DES RIZIERES)|16456068|[48.897683, 2.114621]|Restaurant|2022-03-24T01:00:00+01:00|78110|A améliorer|125 BD CARNOT||48.897683|2.114621
Autres|Restaurant|CLICHY|33763497600118|LE FOURNIL DE PARIS|16471852|[48.902722, 2.306662]|Restaurant|2022-05-24T02:00:00+02:00|92110|Satisfaisant|80 Rue Martre||48.902722|2.306662
Autres|Restaurant|GRIGNY|38403390800011|LA CRIEE (GRIGNY RESTAURATION)|16578004|[48.668841, 2.393262]|Restaurant|2022-09-02T02:00:00+02:00|91350|Très satisfaisant|21 RTE NATIONALE 7||48.668841|2.393262
Autres|Restaurant|COIGNIERES|39038577100014|QUICK (LE ROC RESTAURATION QUICK)|16464419|[48.747882, 1.921155]|Restaurant|2022-03-18T01:00:00+01:00|78310|Satisfaisant|RN 10||48.747882|1.921155
Autres|Restaurant|GRIGNY|34449662500023|LE PAVILLON IMPERIAL|16514466|[48.671544, 2.394915]|Restaurant|2022-07-04T02:00:00+02:00|91350|A améliorer|1-3-RUE GUSTAVE EIFFEL 1 RUE DES HALLES||48.671544|2.394915
Autres|Restaurant|BREST|39087499800011|MAC DONALD S (ARCHE LES ABERS)|16462974|[48.387202, -4.525944]|Restaurant|2022-05-16T02:00:00+02:00|29200|Très satisfaisant|126 BD DE PLYMOUTH||48.387202|-4.525944
Autres|Restaurant|LYON 6E ARRONDISSEMENT|35393669300046|LES CARNETS D'EDOUARD|16461618|[45.766744, 4.857021]|Restaurant|2022-05-10T02:00:00+02:00|69006|Satisfaisant|LE BISTROT  24 BD DES BROTTEAUX||45.766744|4.857021
Autres|Restaurant|LYON 6E ARRONDISSEMENT|40210149700020|LE VERDI|16462652|[45.768298, 4.8571349999999995]|Restaurant|2022-05-10T02:00:00+02:00|69006|Très satisfaisant|13 BOULEVARD DES BROTTEAUX||45.768298|4.857135
Autres|Restaurant|MORLAIX|37828367500056|Restaurant L'Herbe en sol (HOUDY FRANCOISE-GUENOLEE)|16652033|[48.578093, -3.8274809999999997]|Restaurant|2022-11-16T01:00:00+01:00|29600|Très satisfaisant|21 RUE ANGE DE GUERNISAC||48.578093|-3.827481
Autres|Restaurant|SARTROUVILLE|40218476600028|OR GRILL (SARL XIN CHUN)|16614128|[48.949592, 2.198045]|Restaurant|2022-10-04T02:00:00+02:00|78500|A améliorer|43 Rue Jean Pierre Timbaud||48.949592|2.198045
Autres|Restaurant|BOULOGNE BILLANCOURT|38021727300016|BRASSERIE JEAN BAPTISTE|16438906|[48.840976, 2.2291600000000003]|Restaurant|2022-04-21T02:00:00+02:00|92100|Satisfaisant|1 RPT RHIN ET DANUBE||48.840976|2.2291600000000003
Autres|Restaurant|EVRY COURCOURONNES|39939455000012|LE GOURMET PRESSE|16580462|[48.630589, 2.430109]|Restaurant|2022-09-06T02:00:00+02:00|91000|Satisfaisant|BD DE L'EUROPE||48.630589|2.430109
Autres|Restaurant|COIGNIERES|38057516700016|LRM BELLA VITA|16434893|[48.748457, 1.9235039999999999]|Restaurant|2022-03-09T01:00:00+01:00|78310|Satisfaisant|134 RTE NATIONALE 10||48.748457|1.923504
Autres|Restaurant|ANTHY SUR LEMAN|40540357700027|RESTAURANT MAC DONALD'S (SAS GA RESTAURANT MAC DONALD'S)|16481002|[46.349555, 6.433327]|Restaurant|2022-06-02T02:00:00+02:00|74200|Satisfaisant|ROUTE DE GENEVE||46.349555|6.433327
Autres|Restaurant|AIRE SUR LA LYS|42376429900057|BONIFACIO PIZZA (SAEZ JEAN-MICHEL)|16358998|[50.644494, 2.405261]|Restaurant|2022-03-03T01:00:00+01:00|62120|A améliorer|54 RUE FORT GASSION||50.644494|2.405261
Autres|Restaurant|BOURG EN BRESSE|38462229600018|LE BRESSAN (SARL LES GIROLLES)|16356014|[46.202694, 5.228055]|Restaurant|2022-03-02T01:00:00+01:00|01000|Très satisfaisant|34 R DE LA REPUBLIQUE||46.202694|5.228055
Autres|Restaurant|LES ULIS|43483601100016|LA FERME (LA FERME DES GASCONS)|16470905|[48.685235, 2.202692]|Restaurant|2022-05-20T02:00:00+02:00|91940|Très satisfaisant|7 AV DES INDES||48.685235|2.202692
Autres|Restaurant|ARAGNOUET|43817927700043|L'EDELWEISS (MONSIEUR MARC-ERIK BREGER)|16359803|[42.786629, 0.21468299999999998]|Restaurant|2022-03-01T01:00:00+01:00|65170|Satisfaisant|PIAU ENGALY||42.786629|0.2146829999999999
Autres|Restaurant|JANVRY|39214247700018|LA BONNE FRANQUETTE|16372600|[48.648053, 2.153236]|Restaurant|2022-03-15T01:00:00+01:00|91640|Très satisfaisant|1 R DU MARCHAIS||48.648053|2.153236
Autres|Restaurant|SAINT RENAN|44028624300017|SOCIETE RENANAISE DE RESTAURATION|16699130|[48.428438, -4.618026]|Restaurant|2023-01-05T01:00:00+01:00|29290|Très satisfaisant|RUE DU PONT DE BOIS||48.428438|-4.618026
Autres|Restaurant|ANNECY|44053204200015|Le Ciselin (VAGNOUX PATRICE)|16522285|[45.932174, 6.170209]|Restaurant|2022-07-07T02:00:00+02:00|74940|Très satisfaisant|8 RUE DU PRE D AVRIL||45.932174|6.170209
Autres|Restaurant|CAPAVENIR VOSGES|39805036900048|SNACK 88 (BARKAOUI FARID)|16536463|[48.245097, 6.412984]|Restaurant|2022-07-22T02:00:00+02:00|88150|Très satisfaisant|THAON LES VOSGES 19 B RUE ROUGE POIRIER||48.245097|6.412984
Autres|Restaurant|SACLAY|43513654400028|PIZZERIA ROMANO (ETOILE DE SACLAY)|16665123|[48.731738, 2.174086]|Restaurant|2022-11-29T01:00:00+01:00|91400|Très satisfaisant|13 RUE DE PARIS||48.731738|2.174086
Autres|Restaurant|COIGNIERES|43820656700036|L'ETE INDIEN (NEW RAJAH)|16438273|[48.748909, 1.923114]|Restaurant|2022-03-09T01:00:00+01:00|78310|Satisfaisant|1 RUE DE LA PREVENDERIE||48.748909|1.923114
Autres|Restaurant|LAMPAUL GUIMILIAU|40218479000028|CREPERIE RESTAURANT L'ESCAPADE (KERDILES OLIVIER)|16373619|[48.492875, -4.041508]|Restaurant|2022-03-04T01:00:00+01:00|29400|Très satisfaisant|8 PL DU VILLERS||48.492875|-4.041508
Autres|Restaurant|LE PECQ|41146349000036|L'ALMODOVAR (BEIRAMAR)|16582857|[48.898468, 2.110229]|Restaurant|2022-06-23T02:00:00+02:00|78230|A améliorer|1 RUE DU PROGRES||48.898468|2.110229
Autres|Restaurant|CROISSY SUR SEINE|47998590500013|SARL LE VILLAGE|16475283|[48.878242, 2.144183]|Restaurant|2022-05-30T02:00:00+02:00|78290|A améliorer|22 BD FERNAND HOSTACHY||48.878242|2.144183
Autres|Restaurant|LYON|48029743100011|RESTAURANT DIONYSOS (ACHAIOS)|16458548|[45.767354, 4.857363]|Restaurant|2022-05-10T02:00:00+02:00|69006|A améliorer|3 AV GENERAL BROSSET||45.767354|4.857363
Autres|Restaurant|VIROFLAY|41397552500010|AU PORTE BONHEUR (ZHOU)|16668818|[48.803432, 2.166399]|Restaurant|2022-12-01T01:00:00+01:00|78220|A améliorer|164 AV DU GENERAL LECLERC||48.803432|2.166399
Autres|Restaurant|LYON|45119754500010|LU|16488835|[45.76381, 4.864582]|Restaurant|2022-06-10T02:00:00+02:00|69006|Satisfaisant|255 CRS LAFAYETTE||45.76381|4.864582
Autres|Restaurant|VIARMES|48516906400022|RESTAURANT MARMARA (SARL MARMARA)|16498615|[49.125394, 2.369882]|Restaurant|2022-06-21T02:00:00+02:00|95270|A améliorer|20 R DE PARIS||49.125394|2.369882
Autres|Restaurant|CORRENCON EN VERCORS|42042507600155|LA POMME DE PIN (DB38)|16370178|[45.031534, 5.5269770000000005]|Restaurant|2022-03-09T01:00:00+01:00|38250|Très satisfaisant|LES RAMBINS||45.031534|5.5269770000000005
Autres|Restaurant|MARLY LE ROI|49122217000012|LA PLANTATION (CAP-ARNO)|16536872|[48.866392, 2.095042]|Restaurant|2022-07-22T02:00:00+02:00|78160|A améliorer|22  GDE RUE||48.866392|2.095042
Autres|Restaurant|GARCHES|43825088800015|JUN DU (JING DU)|16350668|[48.843253, 2.18647]|Restaurant|2022-02-24T01:00:00+01:00|92380|Satisfaisant|1 AV DU MAL LECLERC||48.843253|2.18647
Autres|Restaurant|VERNEUIL SUR SEINE|49748066500015|BALI|16584313|[48.980645, 1.973571]|Restaurant|2022-08-10T02:00:00+02:00|78480|Satisfaisant|38 BD ANDRE MALRAUX||48.980645|1.973571
Autres|Restaurant|CALAIS|50016230000064|SNACK LA CALAISIENNE|16626876|[50.945771, 1.853732]|Restaurant|2022-10-18T02:00:00+02:00|62100|Satisfaisant|PL D ALSACE||50.945771|1.853732
Autres|Restaurant|BOULOGNE BILLANCOURT|49147946500016|AYANN|16359662|[48.829989, 2.239252]|Restaurant|2022-03-02T01:00:00+01:00|92100|Satisfaisant|8 PL BIR HAKEIM||48.829989|2.239252
Autres|Restaurant|GUIGNES|50021411900017|AU BRIARD GOURMAND|16369236|[48.636295, 2.796875]|Restaurant|2022-03-11T01:00:00+01:00|77390|Très satisfaisant|10 RUE DE SERVOLLES||48.636295|2.796875
Autres|Restaurant|ORGEVAL|49277042500014|LE CANARD LAQUE (SARL WANG)|16551115|[48.929675, 1.977685]|Restaurant|2022-08-04T02:00:00+02:00|78630|A améliorer|QUARANTE SOUS||48.929675|1.977685
Autres|Restaurant|CALAIS|49341195300018|AU SOLEIL D'IZMIR (KOCAPINAR ORHAN)|16367912|[50.945778, 1.8763459999999998]|Restaurant|2022-03-10T01:00:00+01:00|62100|Satisfaisant|188 BD DE L EGALITE||50.945778|1.876346
Autres|Restaurant|BREST|44269883300013|LE FOURNIL DES PROVINCES|16455677|[48.40515, -4.510615]|Restaurant|2022-05-09T02:00:00+02:00|29200|Satisfaisant|28 AV DE TARENTE||48.40515|-4.510615
Autres|Restaurant|CHELLES|50099396900103|MCDONALD'S (MCDONALD S EST PARISIEN)|16447632|[48.876728, 2.604141]|Restaurant|2022-05-02T02:00:00+02:00|77500|Très satisfaisant|RUE GABRIEL DE MORTILLET||48.876728|2.604141
Autres|Restaurant|AMIENS|49389489300020|O'MIMOSAS (MIMOSAS)|16533673|[49.89588, 2.303442]|Restaurant|2022-07-12T02:00:00+02:00|80000|Satisfaisant|PL DU DON||49.89588|2.303442
Autres|Restaurant|CALAIS|50016230000098|SNACK LA CALAISIENNE|16629186|[50.952611, 1.850018]|Restaurant|2022-10-18T02:00:00+02:00|62100|Satisfaisant|PARC SAINT PIERRE, EMPLACEMENT 5, AV DU PRESIDENT WILSON||50.952611|1.850018
Autres|Restaurant|VERSAILLES|45080959500017|GOLDEN BENGAL (GOLDEN BENGAL)|16484375|[48.798747, 2.134233]|Restaurant|2022-06-01T02:00:00+02:00|78000|A améliorer|35 R DES ETATS GENERAUX||48.798747|2.134233
Autres|Restaurant|BOULOGNE SUR MER|50282754600032|HOGGARD (SENAHI MOUSSA)|16394392|[50.721978, 1.60919]|Restaurant|2022-03-24T01:00:00+01:00|62200|Satisfaisant|101 RUE NATIONALE||50.721978|1.60919
